GEOID10,pop,sldl_2000,sldl_2016,sldu_2000,sldl_2013,sldl_2018,cd_2003,sldl_2010,sldu_2013,sldu_2010,sldl_2015
500019602002004,11,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002005,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002006,37,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002007,5,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002008,5,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002009,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002010,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002011,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002012,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002013,4,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002014,23,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002015,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002016,27,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002017,8,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002018,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002019,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002020,50,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002021,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002022,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002023,33,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002024,14,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002025,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002026,35,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002027,11,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002028,5,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002029,39,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002030,17,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002031,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002032,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002033,76,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
