GEOID10,pop,sldl_2000,cd_2013,sldl_2013,sldu_2000,cd_2003,sldl_2010,sldu_2013,sldu_2010
090010102012013,0,151,004,151,036,004,151,036,036
090010102012014,51,151,004,151,036,004,151,036,036
090010102012015,8,151,004,151,036,004,151,036,036
090010102012016,75,151,004,151,036,004,151,036,036
090010102012017,0,151,004,151,036,004,151,036,036
090010102012018,162,151,004,151,036,004,151,036,036
090010102012019,4,151,004,151,036,004,151,036,036
090010102012020,35,151,004,151,036,004,151,036,036
090010102012021,0,151,004,151,036,004,151,036,036
090010102012022,0,151,004,151,036,004,151,036,036
090010102013000,143,151,004,151,036,004,151,036,036
090010102013001,0,151,004,151,036,004,151,036,036
090010102013002,80,151,004,151,036,004,151,036,036
090010102013003,0,151,004,151,036,004,151,036,036
090010102013004,219,151,004,151,036,004,151,036,036
090010102013005,0,151,004,151,036,004,151,036,036
090010102013006,0,151,004,151,036,004,151,036,036
090010102013007,92,151,004,151,036,004,151,036,036
090010102013008,192,151,004,151,036,004,151,036,036
090010102013009,0,151,004,151,036,004,151,036,036
090010102013010,0,151,004,151,036,004,151,036,036
090010102013011,0,151,004,151,036,004,151,036,036
090010102013012,203,151,004,151,036,004,151,036,036
090010102013013,9,151,004,151,036,004,151,036,036
090010102013014,5,151,004,151,036,004,151,036,036
090010102013015,40,151,004,151,036,004,151,036,036
090010102013016,27,151,004,151,036,004,151,036,036
090010102013017,34,151,004,151,036,004,151,036,036
090010102013018,166,151,004,151,036,004,151,036,036
090010102013019,0,151,004,151,036,004,151,036,036
090010102013020,9,151,004,151,036,004,151,036,036
090010102013021,0,151,004,151,036,004,151,036,036
090010102013022,81,151,004,151,036,004,151,036,036
090010102021000,99,151,004,151,036,004,151,036,036
090010102021001,16,151,004,151,036,004,151,036,036
090010102021002,27,151,004,151,036,004,151,036,036
090010102021003,0,151,004,151,036,004,151,036,036
090010102021004,21,151,004,151,036,004,151,036,036
090010102021005,108,151,004,151,036,004,151,036,036
090010102021006,252,151,004,151,036,004,151,036,036
090010102021007,155,151,004,151,036,004,151,036,036
090010102021008,0,151,004,151,036,004,151,036,036
090010102021009,13,151,004,151,036,004,151,036,036
090010102021010,155,151,004,151,036,004,151,036,036
090010102021011,0,151,004,151,036,004,151,036,036
090010102021012,49,151,004,151,036,004,151,036,036
090010102022000,155,151,004,151,036,004,151,036,036
090010102022001,320,151,004,151,036,004,151,036,036
090010102022002,4,151,004,151,036,004,151,036,036
090010102022003,11,151,004,151,036,004,151,036,036
090010102022004,357,151,004,151,036,004,151,036,036
090010102022005,650,151,004,151,036,004,151,036,036
090010102022006,86,151,004,151,036,004,151,036,036
090010102022007,132,151,004,151,036,004,151,036,036
090010102022008,0,151,004,151,036,004,151,036,036
090010102022009,0,151,004,151,036,004,151,036,036
090010102022010,89,151,004,151,036,004,151,036,036
090010102022011,248,151,004,151,036,004,151,036,036
090010102022012,122,151,004,151,036,004,151,036,036
090010102022013,152,151,004,151,036,004,151,036,036
090010102022014,74,151,004,151,036,004,151,036,036
090010102023000,29,151,004,151,036,004,151,036,036
090010102023001,0,151,004,151,036,004,151,036,036
090010102023002,114,151,004,151,036,004,151,036,036
090010102023003,157,151,004,151,036,004,151,036,036
090010102023004,0,151,004,151,036,004,151,036,036
090010102023005,0,151,004,151,036,004,151,036,036
090010102023006,32,151,004,151,036,004,151,036,036
090010102023007,20,151,004,151,036,004,151,036,036
090010102023008,11,151,004,151,036,004,151,036,036
090010102023009,22,151,004,151,036,004,151,036,036
090010102023010,503,151,004,151,036,004,151,036,036
090010102023011,304,151,004,151,036,004,151,036,036
090010102023012,0,151,004,151,036,004,151,036,036
090010102023013,14,151,004,151,036,004,151,036,036
090010102023014,0,151,004,151,036,004,151,036,036
090010102023015,95,151,004,151,036,004,151,036,036
090010102023016,74,151,004,151,036,004,151,036,036
090010102024000,81,151,004,151,036,004,151,036,036
090010102024001,174,151,004,151,036,004,151,036,036
090010102024002,0,151,004,151,036,004,151,036,036
090010102024003,0,151,004,151,036,004,151,036,036
090010102024004,44,151,004,151,036,004,151,036,036
090010102024005,210,151,004,151,036,004,151,036,036
090010102024006,0,151,004,151,036,004,151,036,036
090010102024007,0,151,004,151,036,004,151,036,036
090010102024008,0,151,004,151,036,004,151,036,036
090010102024009,0,151,004,151,036,004,151,036,036
090010102024010,0,151,004,151,036,004,151,036,036
090010102024011,11,151,004,151,036,004,151,036,036
090010102024012,169,151,004,151,036,004,151,036,036
090010103001000,0,151,004,151,036,004,151,036,036
090010103001001,289,151,004,151,036,004,151,036,036
090010103001002,154,151,004,151,036,004,151,036,036
090010103001003,0,151,004,151,036,004,151,036,036
090010103001004,38,151,004,151,036,004,151,036,036
090010103001005,0,151,004,151,036,004,151,036,036
090010103001006,33,151,004,151,036,004,151,036,036
090010103001007,130,151,004,151,036,004,151,036,036
090010103001008,0,151,004,151,036,004,151,036,036
090010103001009,2,151,004,151,036,004,151,036,036
090010103001010,61,151,004,151,036,004,151,036,036
